1308 Compositions 

alloy     Elastic Modulus, GPa
===============================
Fe80Be20 169.945569136924
Fe60Be40 164.048580803343
Be60Fe40 158.507811093153
Be80Fe20 153.365563730955
Co80Be20 251.06818687498
Co60Be40 242.669139583546
Be60Co40 233.766042027216
Be80Co20 224.602562410232
Al80Be20 130.593247532003
Al60Be40 127.773227868397
Be60Al40 125.206504995104
Be80Al20 122.896961208872
Mo80Be20 175.822654261706
Mo60Be40 171.534361497678
Be60Mo40 167.393416412909
Be80Mo20 163.454755416968
Fe80Be20 141.508960164561
Fe60Be40 136.916876137173
Be60Fe40 132.75625162576
Be80Fe20 129.02326701294
Gd80B20 222.189413652208
Gd60B40 215.581919079537
B60Gd40 208.570093912793
B80Gd20 201.451678530051
Nb80B20 190.60690000916
Nb60B40 183.695341478017
B60Nb40 177.171808636272
B80Nb20 171.098922111171
Cr80B20 277.964023262417
Cr60B40 272.695403354277
B60Cr40 267.239817004632
B80Cr20 261.637171354
W80B20 260.575434408787
W60B40 259.348225645939
B60W40 257.41587436973
B80W20 254.872670959728
Sn80B20 226.810478578593
Sn60B40 222.552770608657
B60Sn40 218.122120116387
B80Sn20 213.663605513105
Cu80Mg20 90.0834546824536
Cu60Mg40 88.6958604833089
Mg60Cu40 87.6167478113413
Mg80Cu20 86.8138195754452
Ta80Mg20 107.946499157948
Ta60Mg40 104.848961851215
Mg60Ta40 101.771954116935
Mg80Ta20 98.8390457135284
La80Mg20 75.0960737585593
La60Mg40 74.5878475972972
Mg60La40 74.2363736737177
Mg80La20 74.0262533164857
Zn80Mg20 69.2963498594736
Zn60Mg40 68.0716116193446
Mg60Zn40 67.0822446396682
Mg80Zn20 66.3294591819512
Mo80Mg20 74.8480794160325
Mo60Mg40 73.5514320868355
Mg60Mo40 72.4333605297013
Mg80Mo20 71.5135290852492
Cr80Al20 53.8377016361266
Cr60Al40 52.9904679327544
Al60Cr40 52.3826739673541
Al80Cr20 51.9993962953487
Mg80Al20 76.5343719445656
Mg60Al40 74.8252012028242
Al60Mg40 73.5126337177117
Al80Mg20 72.5531774835525
Au80Al20 121.337510057194
Au60Al40 118.005735460673
Al60Au40 115.120506420327
Al80Au20 112.650321856874
Ag80Al20 53.6509533685018
Ag60Al40 53.4054120003682
Al60Ag40 53.3103832532902
Al80Ag20 53.3707504865287
Sc80Al20 69.5335577739762
Sc60Al40 69.2189999366568
Al60Sc40 69.0454550900431
Al80Sc20 68.998990084752
Sc80Si20 123.346782225492
Sc60Si40 120.963850635959
Si60Sc40 118.907313220204
Si80Sc20 117.136272114008
Au80Si20 127.900110108697
Au60Si40 126.508339004794
Si60Au40 124.831932312282
Si80Au20 122.990031667363
Hf80Si20 151.313226147889
Hf60Si40 146.795901672027
Si60Hf40 142.682287676076
Si80Hf20 138.989149723699
Sc80Si20 101.074183267365
Sc60Si40 99.9270410396729
Si60Sc40 98.9504179218814
Si80Sc20 98.1215668039295
Hf80Si20 153.165590844943
Hf60Si40 148.306401234245
Si60Hf40 143.700992943394
Si80Hf20 139.443933468798
Ti80P20 26.0072170934069
Ti60P40 25.7796855281737
P60Ti40 25.6328523506383
P80Ti20 25.565027978512
Ti80P20 37.4442982974442
Ti60P40 36.3833893834325
P60Ti40 35.5013302794445
P80Ti20 34.783877852996
Sn80P20 41.062605507147
Sn60P40 39.9986746646396
P60Sn40 39.1311486150884
P80Sn20 38.4689213104042
W80P20 60.6181976702963
W60P40 59.3103112968087
P60W40 57.9821853536355
P80W20 56.7057468399357
Sc80P20 68.5693485312032
Sc60P40 66.9275979930279
P60Sc40 65.6193851158397
P80Sc20 64.6136677459919
Zr80Ca20 73.3653800835736
Zr60Ca40 71.6949575169026
Ca60Zr40 70.3000192643884
Ca80Zr20 69.1761524940945
W80Ca20 66.8837715499428
W60Ca40 66.6479792889289
Ca60W40 66.5200188434026
Ca80W20 66.5087882664537
W80Ca20 72.1209729765838
W60Ca40 71.2046782208201
Ca60W40 70.4369042951546
Ca80W20 69.8445342433648
Mg80Ca20 55.1769691322407
Mg60Ca40 55.1790331802401
Ca60Mg40 55.3186746067157
Ca80Mg20 55.585874121746
Ag80Ca20 90.8867323683373
Ag60Ca40 89.8257540930665
Ca60Ag40 89.0196446302647
Ca80Ag20 88.4357636054097
Co80Sc20 79.7285482445242
Co60Sc40 78.8880960990879
Sc60Co40 78.1554984473861
Sc80Co20 77.5587012434799
Zn80Sc20 67.3338080792076
Zn60Sc40 66.9190054070387
Sc60Zn40 66.6704182648034
Sc80Zn20 66.5706994756462
Mo80Sc20 93.9375297495947
Mo60Sc40 93.1878609457105
Sc60Mo40 92.4949710319504
Sc80Mo20 91.8956550632665
Cu80Sc20 77.4900741305813
Cu60Sc40 76.9431181852527
Sc60Cu40 76.4691190803111
Sc80Cu20 76.08596404259
Ag80Sc20 76.3209074480497
Ag60Sc40 75.1319016696483
Sc60Ag40 74.132138833926
Sc80Ag20 73.3313254542461
P80Ti20 109.39318538922
P60Ti40 106.382691611748
Ti60P40 103.729518645991
Ti80P20 101.412808509464
Mg80Ti20 94.9039398232792
Mg60Ti40 93.6430908494675
Ti60Mg40 92.6112983623251
Ti80Mg20 91.7816164858592
Ta80Ti20 116.243309950288
Ta60Ti40 114.662094518717
Ti60Ta40 113.185690798417
Ti80Ta20 111.814543478498
Sn80Ti20 92.6261764290005
Sn60Ti40 91.7245177689814
Ti60Sn40 90.9397014795726
Ti80Sn20 90.2897969668032
Ta80Ti20 105.840014768194
Ta60Ti40 104.452311749384
Ti60Ta40 103.222316976027
Ti80Ta20 102.149734715321
Hf80Cr20 131.68765867561
Hf60Cr40 129.03851580272
